"section","day","date","date_iso","session_type","time_of_day","title","presenters","description"
"Monday 6/22/2026 Workshops: Full Day","Monday","6/22/2026","2026-06-22","Full Day",NA,"Egocentric Network Analysis with R","Raffaele Vacca","This workshop is an introduction to the R programming language and its tools to represent, manipulate, and analyze egocentric or personal network data. Topics include: introduction to ego-network research and data; data structures and network objects in R; visualizing ego-networks; calculating measures on ego-network composition and structure; converting ego-network measures to R functions; applying these functions to many ego-networks. The workshop relies on R tidyverse packages for data science, showing how they can be used to conduct common operations in ego-network analysis and scale those operations up to large collections of networks. We'll cover specific packages for network analysis (igraph, network, egor), data management (dplyr) and programming (purrr). No previous familiarity with R is required; participants only need a laptop with R and RStudio installed. This workshop has been taught for the past several years at different international conferences, including INSNA's Sunbelt and EUSN meetings. It draws on concepts and methods from the instructor's forthcoming book ""Analyzing personal networks using R"" (SAGE, in press). More details on the workshop's materials and requirements are here: raffaelevacca.com/egonet-r."
"Monday 6/22/2026 Workshops: Full Day","Monday","6/22/2026","2026-06-22","Full Day",NA,"Large Language Models, Text Embeddings, and Network Analysis","Ayan-Yue Gupta and Thomas Bryan Smith","This 6-hour session offers a practical introduction to Python and the synthesis of network analysis with natural language processing methods, including large language models (LLMs). This begins with an introduction to text data management and preprocessing in Python. We introduce embedding, discussing its development in the early 2010s and demonstrating practical applications. We start with word embeddings and word2vec, and the evolution from static word embeddings to contextual token embeddings through transformer architecture (e.g., BERT). Recent developments in post-ChatGPT generative LLMs, and how such developments (e.g. reinforcement learning from human feedback, contrastive learning) have improved text embedding generation, will be explored with LLM2Vec. The second half will guide attendees through the construction and analysis of networks derived of text embeddings. This will include topic modelling (BERT and LLM2Vec), and approaches to constructing network representations derived of topic embeddings â modelling the relational structure between the identified topics. The session will close with a demonstration of analyses which might be performed on the resulting network, such as backbone extraction (e.g., disparity filter, LANS) and the interpretation of the networksâ features."
"Monday 6/22/2026 Workshops: Half-Day","Monday","6/22/2026","2026-06-22","Half-Day","Morning","Micro-Macro Network Analysis Using Netmediate","Scott Duxbury","What network selection mechanisms generate unique network structures and topologies? What are the implications of those selection mechanisms for individuals nested in social networks? This 3-hour workshop will introduce attendees to recent statistical frameworks for micro-macro network analysis using the netmediate package for R. The workshop will describe (1) procedures for estimating, interpreting, and null hypothesis testing the effects of micro-level selection mechanisms on macro-level network structures, and (2) introduce recent statistical procedures for evaluating the indirect effects of micro-level network selection mechanisms on individual and group level outcomes (e.g., adolescent smoking behavior). Topics covered will include (1) micro-macro analysis when the interest is treating a specific network structure (e.g., segregation, transitivity) as the dependent variable and (2) identification of indirect network selection effects on individual and group outcomes. We will review necessary assumptions for each type of analysis and strategies for meeting those assumptions in observational network data. Attendees will come away from the workshop with a deeper understanding of statistical procedures for micro-macro network analysis and how these procedures can be used to address research questions that implicate indirect network selection effects using netmediate."
"Monday 6/22/2026 Workshops: Half-Day","Monday","6/22/2026","2026-06-22","Half-Day","Morning","Beyond APIs: Collecting Web Data for Research Using the National Internet Observatory","Pranav Goel, Scott Cambo, and David Lazer","The Internet serves as a vital platform for information access and global connectivity. Widespread online engagement offers unprecedented opportunities to study human behavior at scale, yet researchers face significant ethical and technical barriers when attempting to collect data for academic studies. Major social media platforms like Facebook and Twitter have progressively restricted access to their official Application Programming Interfaces (APIs), which previously served as primary tools for researchers to create customized datasets from specific platforms for studying online content production and engagement behavior. This workshop introduces the National Internet Observatory (NIO), an alternative data collection framework and infrastructure designed to help researchers study online behavior, with a particular focus on content viewing â the predominant form of online activity. The workshop presents NIO's informed data donation process, participant demographics and behavioral traces, and secure computing infrastructure. Further, the organizers will present concrete examples of research being conducted with this new source of data to motivate and inform workshop participantsâ own ideas around the kind of research they can conduct with NIO. The workshop incorporates interactive activities and hands-on sessions with real aggregated data to demonstrate NIO's capabilities for enabling novel cross-disciplinary and cross-platform research across web and social media environments."
"Monday 6/22/2026 Workshops: Half-Day","Monday","6/22/2026","2026-06-22","Half-Day","Morning","Seeing Science through Networks: Disciplinary Hardness and Softness","Assemgul Kozhabek and Daniele Fanelli","This workshop introduces a network-based approach to analysing the hardness and softness of scientific domains through their cognitive structure. Using Web of Science (WoS) data, participants will explore how network-derived indicatorsâsuch as centralities, clustering coefficients, entropy, and other structural measuresâcan describe whether a field is characterized by stable, cohesive, and centralized knowledge structures (hard science) or by diverse, fragmented, and flexible ones (soft science)."
"Monday 6/22/2026 Workshops: Half-Day","Monday","6/22/2026","2026-06-22","Half-Day","Morning","Introduction to Relational Event Models","Melania Lembo, Martina Boschi, and Ernst C. Wit","Many sociological processes unfold as sequences of temporally ordered interaction events between entities. Leveraging the availability of time-stamped data, the Relational Event Model (REM) provides a powerful framework for generative modeling of such dynamic networks. REMs capture how node and edge characteristics, together with past interactions, shape the evolution of these processes. The essential temporal information embedded in relational event sequences has motivated advances in the specification of covariates and development of inference techniques. In this workshop, we will introduce the foundations of REMs and show how to construct covariates that represent exogenous drivers, endogenous mechanisms, and temporal features of these processes. We will then examine likelihood-based inference methods for estimating covariate effects and discuss extensions that enhance the flexibility of REMs, including non-linear and time-varying influences as well as random effects to account for network and actor heterogeneity. Workshop Agenda: 1. Core REMs: introduction to REM formulation and the inclusion of time-aware exogenous and endogenous variables. 2. REM inference: overview of likelihood-based estimation methods. 3. Non-Linear REMs: modeling non-linear and time-varying covariate effects while accounting for network and actor heterogeneity. 4. Practical Tutorial with R Studio: applying REMs to empirical datasets."
"Monday 6/22/2026 Workshops: Half-Day","Monday","6/22/2026","2026-06-22","Half-Day","Afternoon","Exponential Family Random Graph Modeling (ERGMs) Using statnet","Carter T. Butts and Pavel N. Krivitsky","Prerequisites: Familiarity with R. Previous experience with the statnet packages network and sna is helpful but not required. Synopsis: This workshop will provide an introductory tutorial on using exponential-family random graph models (ERGMs) for statistical modeling of social networks, using a hands-on approach to fitting these models to data. The ERGM framework allows for the specification, estimation, and simulation of models that incorporate the complex dependencies within networks, and provides a general and flexible means of representing them. The session will demonstrate ERG modeling using the statnet software in R. Topics covered within this session include: an overview of the ERGM framework; defining and fitting models to empirical data; interpretation of model coefficients; goodness-of-fit and model adequacy checking; simulation of networks using ERG models; degeneracy assessment and avoidance; and modeling and simulation of complete networks from egocentrically sampled data. Familiarity with basic descriptive network concepts and statistical methods for network analysis within the R/statnet platform is recommended. Attendees are expected to have had some prior exposure to R, but extensive experience is not assumed. statnet is a collection of integrated packages for the R statistical computing environment that support the representation, manipulation, visualization, modeling, simulation, and analysis of network data. statnet is developed and maintained by a team of volunteer developers, and is released under the GNU Public License. statnet packages can be used with any computing platform that supports R (including Windows, Linux, and Mac). The software supports statistical analysis of large networks, temporal network analysis and valued ties, with utilities for missing and sampled data."
"Monday 6/22/2026 Workshops: Half-Day","Monday","6/22/2026","2026-06-22","Half-Day","Afternoon","An introduction to the design, administration, and management of in-person and remote personal networks research in Network Canvas","Michelle Birkett, Patrick Janulis, Gregory Phillips II, Bernie Hogan, Joshua Melville, and Kate Banner","The goal of this workshop is to provide participants an orientation to conducting personal networks research within Network Canvas and the opportunity to master the skills necessary to apply these tools within their specific domain of interest. Network Canvas (http://www.networkcanvas.com), is a free and open-source software suite that facilitates the collection of self-reported social network data, comprised of applications to support both in-person interviewer-assisted environments as well as remote self-administered studies. In this workshop, we will provide an overview of Architect, the Network Canvas visual survey builder, as well as Interviewer, the Network Canvas app used to collect data directly from participants within an in-person research design. We will also provide an overview of Fresco, the newest Network Canvas tool designed for remote network surveying. Finally, we will explore data export in Interviewer and Fresco, and a brief orientation to analysis. Expect the opportunity to engage in hands-on exercises during the session with assistance from our team. When completed, you will acquire the skills to: Design an egocentric or whole network survey Deploy and manage a study, whether in-person or remote Obtain study data in Interviewer and Fresco, and export it for analysis"
"Monday 6/22/2026 Workshops: Half-Day","Monday","6/22/2026","2026-06-22","Half-Day","Afternoon","Practical Tools for Surveying, Visualizing, and Communicating Collaboration in Inter-organizational Policy Networks","Sarah Galey-Horn and William Nicholas Bork Rodriguez","This three-hour, hands-on workshop introduces participants to a suite of user-friendly tools, featuring the PLACE Plot platform and several open-source software tools, for developing and analyzing social network analysis (SNA) surveys for inter-organizational policy networks. Designed for researchers, evaluators, and policy practitioners, PLACEPlot streamlines the process of collecting high-quality relational data to map collaboration across agencies, organizations, and sectors. The workshop begins with an overview of policy network analysis frameworksâemphasizing how SNA can illuminate patterns of collaboration, boundary spanning, and resource flow within complex policy systems. Participants will then explore PLACEPlotâs intuitive interface to design and deploy customized network surveys, manage respondent data, and generate real-time network visualizations without requiring advanced coding skills. In the second segment, participants will learn how to connect survey outputs with RShiny applications for interactive reporting and stakeholder engagement. This portion highlights how to translate network data into meaningful visual narratives and dashboards that inform decision-making and drive collaboration. By the end of the session, attendees will be able to (1) design and distribute SNA surveys using PLACEPlot, (2) interpret and visualize network data for policy insights, and (3) build interactive RShiny tools that make network findings accessible and actionable for diverse stakeholders."
"Monday 6/22/2026 Workshops: Half-Day","Monday","6/22/2026","2026-06-22","Half-Day","Afternoon","All you need to know about relational hyper-event modeling","Martina Boschi, Melania Lembo, JÃ¼rgen Lerner, and Ernst C. Wit","Social network analysis has relied mainly on time-aggregated data and individual node connections. However, advances in data collection technologies now provide large amounts of time-stamped and hypernetwork information. Examples of such datasets include email multicast communication data and citation networks. Whereas methodological developments in temporal network science have expanded the toolkit for describing time-stamped and hypergraph data, relational hyper-event modeling has emerged as a central approach for the statistical modeling of the dynamic structures these data reveal. Recent contributions have made the Relational Hyper Event Model (RHEM) even more flexible, allowing it to address a range of applied demands. In this workshop, we aim to present RHEMs, beginning with their core properties and progressing to their more novel modeling capacities, highlighting how they can be employed to address empirical questions. Workshop Agenda: Core RHEMs: computing hyperevent covariates; formulating, estimating, and interpreting linear RHEMs. Non-Linear RHEMs: modeling non-linear, time-varying covariate effects while accounting for network and actor heterogeneity. Practical Tutorial with eventnet and R Studio: applying RHEMs to empirical datasets. Emerging Research Directions: exploring new questions and potential extensions for RHEMs."
